Famous Person,Born,Died
Akira Kurosawa,1910,1998
Ted Williams,1918,2002
John C. Frémont,1813,1890
David Ben-Gurion,1886,1973
Ludwig Wittgenstein,1889,1951
Marie Antoinette,1755,1793
Friedrich Guggenberger,1915,1988
Henry James,1843,1916
Jules Verne,1828,1905
Kirk Douglas,1916,2010
Kurt Weill,1900,1950
Otto Kretschmer,1912,1998
Sammy Cahn,1913,1993
Ingmar Bergman,1918,2007
Daniel Webster,1782,1852
Peter Kropotkin,1842,1921
Ferdinand Marcos,1917,1989
Charlie Parker,1920,1955
Federico Fellini,1920,1993
William Wordsworth,1770,1850
Andrew Carnegie,1835,1919
Brigham Young,1801,1877
Benjamin Harrison,1833,1901
Georges Cuvier,1769,1832
Clement Attlee,1883,1967
Aaron Copland,1900,1990
Mikhail Bakunin,1814,1876
Lorenz Hart,1895,1943
Henry Fonda,1905,1982
Erich Hartmann,1922,1993
Queen Elizabeth The Queen Mother,1900,2002
Louis XV of France,1710,1774
Johannes Steinhoff,1913,1994
John Huston,1906,1987
Bob Dole,1923,2010
Jack Lemmon,1925,2001
Earl Warren,1891,1974
Erich Topp,1914,2005
Friedrich Engels,1820,1895
Rutherford B. Hayes,1822,1893
Henry Clay,1777,1852
Heinrich Trettner,1907,2006
Hans Christian Andersen,1805,1875
John Wesley,1703,1791
Béla Bartók,1881,1945
A. C. Bhaktivedanta Swami Prabhupada,1896,1977
Werner Hartmann,1902,1963
Herbert Schultze,1909,1987
John Ruskin,1819,1900
Gamal Abdel Nasser,1918,1970
Otto von Bülow,1911,2006
Frederick Henry Ambrose Scrivener,1813,1891
Joseph II Holy Roman Emperor,1741,1790
Robert Gysae,1911,1989
Hans-Günther Lange,1916,2014
Klaus Scholtz,1908,1982
Ravi Shankar,1920,2012
Franz Kafka,1883,1924
Gioachino Rossini,1792,1868
Theodor Eicke,1892,1943
Thérèse of Lisieux,1873,1897
Rolf Thomsen,1915,2003
Pierre Boulez,1925,2016
John C. Calhoun,1782,1850
Lee de Forest,1873,1961
Nicholas I of Russia,1796,1855
Cary Grant,1904,1986
Friedrich August Freiherr von der Heydte,1907,1994
John Logie Baird,1888,1946
Benjamin Disraeli,1804,1881
Dietrich Hrabak,1914,1995
Heinz Guderian,1888,1954
Billy Wilder,1906,2002
Mel Blanc,1908,1989
Yogi Berra,1925,2015
Leo Durocher,1905,1991
Ezra Pound,1885,1972
Pope Benedict XV,1854,1922
Günther Rall,1918,2009
George I of Great Britain,1660,1727
Jane Austen,1775,1817
Barry Goldwater,1909,1998
Smilo Freiherr von Lüttwitz,1895,1976
John Edward Gray,1800,1875
Arthur Haygarth,1825,1903
Günther Josten,1921,2004
Gerhard Barkhorn,1919,1983
Hans Kroh,1907,1967
Charles Wheatstone,1802,1875
Kurt Student,1890,1978
Rudolf Witzig,1916,2001
Charles III of Spain,1716,1788
Shimon Peres,1923,2010
Gregory Peck,1916,2003
Walter Gericke,1907,1991
Walter Krupinski,1920,2000
Ernst-Wilhelm Reinert,1919,2007
Charlton Heston,1923,2008
Gerhart Schirmer,1913,2004
Hermann Wulf,1915,1990
Zachary Taylor,1784,1850
Wolfgang Späte,1911,1997
W. B. Yeats,1865,1939
Edward VIII,1894,1972
Francis II Holy Roman Emperor,1768,1835
Johannes Wiese,1915,1991
Wilhelm Batz,1916,1988
François Mitterrand,1916,1996
Alec Guinness,1914,2000
Friedrich Lang,1915,2003
Hubert Humphrey,1911,1978
Menachem Begin,1913,1992
Bernhard Rogge,1899,1982
Martin Harlinghausen,1902,1986
Susan B. Anthony,1820,1906
Winfield Scott,1786,1866
Herbert Spencer,1820,1903
Werner Streib,1911,1986
Muhammad Ali Jinnah,1876,1948
Ty Cobb,1886,1961
Hermann Greiner,1920,2014
William Penn,1644,1718
William Henry Harrison,1773,1841
Arthur Miller,1915,2005
Søren Kierkegaard,1813,1855
Bernd Klug,1914,1976
Herbert Lütje,1918,1967
William Jennings Bryan,1860,1925
William IV of the United Kingdom,1765,1837
Walt Whitman,1819,1892
Friedrich Kemnade,1911,2008
Emma Goldman,1869,1940
Günther Radusch,1912,1988
